English, Nominatiivi, Genetiivi, Partitiivi, Akkusatiivi, Inessiivi, 
one, yksi, yhden, yhtä, yksi, yhdessä,
two, kaksi, kahden, kahta, kaksi, kahdessa,
three, kolme, kolmen, kolmea, kolme, kolmessa, 
four, neljä, neljän, neljää, neljä, neljässä, 
five, viisi, viiden, viitä, viisi, viidessä,
six, kuusi, kuuden, kuutta, kuusi, kuusessä,
seven, seitsemän, seitsemän, seitsemää, seitsemän, seitsemässä,
eight, kahdeksan, kahdeksan, kahdeksaa, kahdeksan, kahdeksassa,
nine, yhdeksän, yhdeksän, yhdeksää, yhdeksän, yhdeksässä,
ten, kymmenen, kymmenen, kymmentä, kymmenen, kymmenessä,
eleven, yksitoista, yhdentoista, yhtätoista, yksitoista, yhdessätoista,
twelve, kaksitoista, kahdentoista, kahtatoista, kaksitoista, 
ones, yhdet, yksien, yksiä, yhdet, yksissä,
twos, kahdet, kaksien, kaksia, kahdet, kaksissa,
threes, kolmet, kolmien, kolmia, kolmet, kolmissa, 
fours, neljät, neljien, neljiä, neljät, neljissä, 
fives, viidet, viisien, viisiä, viidet, viisissä,
sixes, kuudet, kuusien, kuusia, kuudet, kuusissa,
sevens, seitsemät, seitsemien, seitsemiä, seitsemät, seitsemissä,
eights, kahdeksat, kahdeksien, kahdeksia, kahdeksat, kahdeksissa,
nines, yhdeksät, yhdeksien, yhdeksiä, yhdeksät, yhdeksissä,
tens, kymmenet, kymmeien, kymmenniä, kymmenet, kymmenissä,
elevens, yhdettoista, yksientoista, yksiätoista, yhdettoista, yksissätoista,
twelves, kahdettoista, kaksientoista, kaksiatoista, kahdettoista, kaksissatoista,