English     , Nominatiivi, Genetiivi  , Partitiivi, Akkusatiivi, Inessiivi  , 
good        , hyvä       , hyvän      , hyvää     , hyvän      , hyvässä    , 
good (pl)   , hyvät      , hyvien     , hyviä     , hyvät      , hyvissä    , 
calm        , tyyni      , tyynen     , tyyntä    , tyyni      , tyynessä   , 
calm (pl)   , tyynet     , tyynten    , tyyniä    , tyynet     , tyynissä   , 
nice        , mukava     , mukavan    , mukavaa   , mukava     , mukavassa  , 
nice (pl)   , mukavat    , mukavien   , mukavia   , mukavat    , mukavissa  , 
slow        , hidas      , hitaan     , hidasta   , hidas      , hitaassa   , 
slow (pl)   , hidaat     , hitaiden   , hitaita   , hitaat     , hitaissa   , 
fast        , nopea      , nopean     , nopeata   , nopea      , nopeassa   , 
fast (pl)   , nopeat     , nopeiden   , nopeita   , nopeat     , nopeissa   , 
popular     , suosittu   , suositun   , suosittua , suosittu   , suositussa , 
popular (pl), suositut   , suosittujen, suosittuja, suositut   , suosituissa, 