English        , Finnish   , Minä     , Sinä     , Hän / Se  , Me         , Te         , He          , 
to be          , olla      , olen     , olet     , on        , olemme     , olette     , ovat        , 
to eat         , syödä     , syön     , syöt     , syö       , syömme     , syötte     , syövät      , 
to drive       , ajaa      , ajan     , ajat     , ajaa      , ajamme     , ajatte     , ajavat      , 
to drink       , juoda     , juon     , juot     , juo       , juomme     , juotte     , juovat      , 
to read        , lukea     , luen     , luet     , lukee     , luemme     , luette     , lukevat     , 
to take        , ottaa     , otan     , otat     , ottaa     , otamme     , otatte     , ottavat     , 
to buy         , ostaa     , ostan    , ostat    , ostaa     , ostamme    , ostatte    , ostavat     , 
to fit         , sopia     , sovin    , sovit    , sopii     , sovimme    , sovitte    , sopivat     , 
to say         , sanoa     , sanon    , sanot    , sanoo     , sanomme    , sanotte    , sanovat     , 
to sit         , istua     , istun    , istut    , istuu     , istumme    , istutte    , istuvat     , 
to give        , antaa     , annan    , annat    , antaa     , annamme    , annatte    , antavat     , 
to speak       , puhua     , puhun    , puhut    , puhuu     , puhumme    , puhutte    , puhuvat     , 
to help        , auttaa    , autan    , autat    , auttaa    , autamme    , autatte    , auttavat    , 
to sleep       , nukkua    , nukun    , nukut    , nukkuu    , nukumme    , nukutte    , nukkuvat    , 
to look for    , etsiä     , etsin    , etsit    , etsii     , etsimme    , etsitte    , etsivät     , 
to grow        , kasvaa    , kasvan   , kasvat   , kasvaa    , kasvamme   , kasvatte   , kasavat     , 
to know        , tietää    , tiedän   , tiedät   , tietää    , tiedämme   , tiedätte   , tietävät    , 
to close       , sulkea    , suljen   , suljet   , sulkee    , suljemme   , suljette   , sulkevat    , 
to like        , haluata   , haluan   , haluat   , haluaa    , haluamme   , haluatte   , haluavat    , 
to arrive      , saapua    , saavun   , saavut   , saapuu    , saavumme   , saavutte   , saapuvat    , 
to wait        , odottaa   , odotan   , odotat   , odottaa   , odotamme   , odotatte   , odottavat   , 
to use         , käyttää   , käytän   , käytät   , käyttää   , käytämme   , käytätte   , käyttävät   , 
to play        , soittaa   , soitan   , soitat   , soittaa   , soitamme   , soitatte   , soittavat   , 
to continue    , jatkua    , jaktun   , jatkut   , jatkuu    , jatkumme   , jatkutte   , jatkuvat    , 
to run         , juosta    , juoksen  , juokset  , juoksee   , juoksemme  , juoksette  , juoksevat   , 
to celebrate   , juhlia    , juhlin   , juhlit   , juhlii    , juhlimme   , juhlitte   , juhlivat    , 
to save        , säästää   , säästän  , säästät  , säästää   , säästämme  , säästätte  , säästävät   , 
to look / watch, katsoa    , katson   , katsot   , katsoo    , katsomme   , katsotte   , katsovat    , 
to forget      , unohtaa   , unohdan  , unohdat  , unohtaa   , unohdamme  , unohdatte  , unohdavat   , 
to loan        , lainata   , lainaan  , lainaat  , lainaa    , lainaamme  , lainaatte  , lainaavat   , 
to remember    , muistaa   , muistan  , muistat  , muistaa   , muistamme  , muistatte  , muistavat   , 
to love        , rakastaa  , rakastan , rakastat , rakastaa  , rakastamme , rakastatte , rakastavat  , 
to travel      , matkustaa , matkustan, matkustat, matkustaa , matkustamme, matkustatte, matkustavat , 
to write       , kirjoittaa, kirjoitan, kirjoitat, kirjoittaa, kirjoitamme, kirjoitatte, kirjoittavat, 