English        , Finnish   , Minä     , Sinä     , Hän / Se , Me         , Te         , He          , 
to be          , olla      , olin     , olit     , on       , olimme     , olitte     , ovit        , 
to eat         , syödä     , söin     , söit     , söi      , söimme     , söitte     , söivät      , 
to drive       , ajaa      , ajoin    , ajoit    , ajoi     , ajoimme    , ajoitte    , ajoivat     , 
to drink       , juoda     , join     , joit     , joi      , joimme     , joitte     , joivat      , 
to read        , lukea     , luin     , luit     , lui      , luimme     , luitte     , lukivat     , 
to take        , ottaa     , otin     , otit     , otti     , otimme     , otitte     , ottivat     , 
to buy         , ostaa     , ostin    , ostit    , osti     , ostimme    , ostitte    , ostivat     , 
to fit         , sopia     , sovin    , sovit    , sopii    , sovimme    , sovitte    , sopivat     , 
to say         , sanoa     , sanoin   , sanoit   , sanoi    , sanoimme   , sanoitte   , sanoivat    , 
to sit         , istua     , istuin   , istuit   , istui    , istuimme   , istuitte   , istuivat    , 
to give        , antaa     , annoin   , annoit   , antoi    , annoimme   , annoitte   , antoivat    , 
to speak       , puhua     , puhuin   , puhuit   , puhui    , puhuimme   , puhuitte   , puhuivat    , 
to help        , auttaa    , autoin   , autoit   , auttoi   , autoimme   , autoitte   , auttoivat   , 
to sleep       , nukkua    , nukuin   , nukuit   , nukkui   , nukuimme   , nukuitte   , nukkuivat   , 
to look for    , etsiä     , etsin    , etsit    , etsii    , etsimme    , etsitte    , etsivät     , 
to grow        , kasvaa    , kasvoin  , kasvoit  , kasvoi   , kasvoimme  , kasvoitte  , kasoivat    , 
to know        , tietää    , tiesin   , tiesit   , tiesi    , tiesimme   , tiesitte   , tiesivät    , 
to close       , sulkea    , suljin   , suljit   , sulki    , suljimme   , suljitte   , sulkivat    , 
to like        , haluta    , halusin  , halusit  , halusi   , halusimme  , halusitte  , halusivat   , 
to arrive      , saapua    , saavuin  , saavuit  , saapuiu  , saavuimme  , saavuitte  , saapuivat   , 
to wait        , odottaa   , odotin   , odotit   , odotti   , odotimme   , odotitte   , odottivat   , 
to use         , käyttää   , käytin   , käytit   , käytti   , käytimme   , käytitte   , käyttivät   , 
to play        , soittaa   , soitin   , soitit   , soitti   , soitimme   , soititte   , soittivat   , 
to continue    , jatkua    , jaktuin  , jatkuit  , jatkui   , jatkuimme  , jatkuitte  , jatkuivat   , 
to run         , juosta    , juoksin  , juoksit  , juoksi   , juoksimme  , juoksitte  , juoksivat   , 
to celebrate   , juhlia    , juhlin   , juhlit   , juhlii   , juhlimme   , juhlitte   , juhlivat    , 
to save        , säästää   , säästin  , säästit  , säästi   , säästimme  , säästitte  , säästivät   , 
to look / watch, katsoa    , katsoin  , katsoit  , katsoi   , katsoimme  , katsoitte  , katsoivat   , 
to forget      , unohtaa   , unohdin  , unohdit  , unohti   , unohdimme  , unohditte  , unohdivat   , 
to loan        , lainata   , lainasin , lainasit , lainasi  , lainasimme , lainasitte , lainasivat  , 
to remember    , muistaa   , muistin  , muistit  , muisti   , muistimme  , muistitte  , muistivat   , 
to love        , rakastaa  , rakastin , rakastit , rakasti  , rakastimme , rakastitte , rakastivat  , 
to travel      , matkustaa , matkustin, matkustit, matkusti , matkustimme, matkustitte, matkustivat , 
to write       , kirjoittaa, kirjoitin, kirjoitit, kirjoitti, kirjoitimme, kirjoititte, kirjoittivat, 